stage_id,config_id,pdf_chunker,note_chunker,retriever,source_composition,reranker,rankable,status,validity_class,primary_score,guardrails_passed,guardrail_failures,new_hard_failure_count,operational_review_required,latency_validity,input_fingerprint,payload_sha256,contract_errors
note-chunker,note-chunker-2e5416c4ef66293fd66e,pdf-fixed-1200,note-whole,dense,pdf-note-rrf,rerank-off,False,completed,diagnostic-only/ineligible,0.4687519425019425,False,too-many-domain-regressions|multi_hop-regression|new-recall-at-10-hard-failures,18,False,observed-only,539f741ed80a9d60676101f7305c9fa3a5be303fa32f8976c2af248c3fe45e0a,789c5532799d373ab86ef7204357f6aa9ca0a89192a8bf399f1aa1e78acac4ab,
note-chunker,note-chunker-78efa62fecb3240c48e8,pdf-fixed-1200,note-reviewer-concern,dense,pdf-note-rrf,rerank-off,False,completed,diagnostic-only/ineligible,0.8877680652680653,False,new-recall-at-10-hard-failures,1,False,observed-only,b198477d068e5b345b3bbf398d0b871ec9601e6de5053db173f664c1d11551cc,691b2f0a3faa1b86f527452db407898b60ffee3e3135ade0d7a766d9e79e0b28,
note-chunker,note-chunker-7a1cacaa9eefb7e528bd,pdf-fixed-1200,note-section,dense,pdf-note-rrf,rerank-off,True,completed,valid-and-rankable,0.460754662004662,True,,0,False,observed-only,1af5ac8b81e5859f2b415c6d06e7907912a57ea79b4c87687d38e28c9dee506f,a04affd3c95630e94fa0bcad3acbef88238acbe56ccd42d7190cc6eb1948e1a7,
note-chunker,note-chunker-7e40886d3650c8b7a407,pdf-fixed-1200,note-claim-evidence,dense,pdf-note-rrf,rerank-off,True,completed,valid-but-poor,0.4651379176379177,False,too-many-domain-regressions|new-recall-at-10-hard-failures,15,False,observed-only,d5f40fc96b96da2abe721a09af217ca01cd04addf12121a7c512d5a104c26410,bc14d8c577d668d94a9dd88913fcd791948d854e0c98519e39dbfb44ca322cee,
pdf-chunker,pdf-chunker-0461d3e9d091c2dbdcd2,pdf-fixed-400,,dense,pdf-only,rerank-off,True,completed,valid-but-poor,0.8311742424242425,False,too-many-domain-regressions|multi_hop-regression|adversarial-regression|recall_at_10-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,7,True,observed-only,44056845a3c08e597105108304829815e870eb5b92387b672098f88a774ef0fd,812e3839bce367e9a7640f9cde2923106dfd9a7e3c9a75244bedc1683566f4ae,
pdf-chunker,pdf-chunker-68b1924621295d86b45e,pdf-fixed-1200,,dense,pdf-only,rerank-off,True,completed,valid-but-poor,0.9143172105672106,False,too-many-domain-regressions|adversarial-regression|new-recall-at-10-hard-failures,4,False,observed-only,9845cc31a308503e05448eabf9875be0c4f6f48ae91e2098f55c20ee2c898c33,eee16b3e5329500df4ce420499cca48361f369f8489dd57fd133cdb3528fe552,
pdf-chunker,pdf-chunker-a3d28c82a482892a90d5,pdf-parent-child,,dense,pdf-only,rerank-off,True,completed,valid-but-poor,0.8156487956487958,False,too-many-domain-regressions|multi_hop-regression|adversarial-regression|recall_at_10-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,10,True,observed-only,616e13b5849f7f3bbf17f239c9ee30a6d3cba87baf0c01d9546d5c3aca896e51,f26ca0c7252afdeb846fee7ce23a9c9c935b2b08fd05c4208c1c64545391dd00,
pdf-chunker,pdf-chunker-c040a02c658aab1769db,pdf-fixed-800,,dense,pdf-only,rerank-off,True,completed,valid-and-rankable,0.9046882284382285,True,,0,False,observed-only,3fce4fa9a5f148f0572eac9de102dc0a45e322f15f47108cd900c61fa92a443d,a19d238719a636c31d671519952a17d0614124ef71885c68ae28cd6340c3cbe6,
pdf-chunker,pdf-chunker-dc8dc6072298a93a603b,pdf-structure-aware,,dense,pdf-only,rerank-off,True,failed,deterministic-strategy-failure,,False,,0,False,observed-only,c31622769f81f787d248b0886d29a808113880022c70474469676b670e762272,40ef3b4f732b2b0b1139e7065beddfa4de64b9bc6c83ecdb527bec0050b5a2c4,
pdf-chunker,pdf-chunker-dcdafcd66f544d21e7de,pdf-section-aware,,dense,pdf-only,rerank-off,True,completed,valid-but-poor,0.8683411033411034,False,too-many-domain-regressions|adversarial-regression|recall_at_10-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,7,True,observed-only,fc60816b4defe62e6494ebb859fdc4b208b4609dfddc82f88f8f7ef32765c42d,091f8146ac1d0dad6136ff68c5e5f076b26530802708eb93ea78645bdc47193a,
pdf-chunker,pdf-chunker-f961868d853dce6715f5,pdf-page-aware,,dense,pdf-only,rerank-off,True,completed,valid-but-poor,0.8924650349650349,False,too-many-domain-regressions|adversarial-regression|recall_at_10-regression|new-recall-at-10-hard-failures,4,False,observed-only,39e73aa7130c58cc985a3bdd33f09d86e13c0cf2caf3bf0f98e697cc63c11099,bfb1a7b18ecb8e5dec197242989f6894bee4a41d7101564282502b258e8fc72d,
reranker,reranker-4c0466f31afde6284ef0,pdf-fixed-1200,,hybrid-rrf,pdf-only,rerank-off,True,completed,valid-and-rankable,0.8345257019828777,True,,0,False,observed-only,6852b0119b8c4e864c0f6cefcdc261fe9972dd3a031a64334b605f9c7370baef,518c70e531dc117e77868cbce922ad03c855df9c7daf92bce1eb1a28a0780df2,
reranker,reranker-6af26a39bf6b590adf74,pdf-fixed-1200,,hybrid-rrf,pdf-only,rerank-20-to-10,True,completed,valid-but-poor,0.8389089703033632,False,too-many-domain-regressions|new-recall-at-10-hard-failures,1,True,observed-only,9b91456ed0d18f64c725049186ab22ffe12f9b2eeda4b92917592caadba9f7ac,f5b7ea6b74ad73544c9f03aec9fe89fc5796b99712e54c33201015549df9ae2e,
reranker,reranker-82d90c8b02808772b42d,pdf-fixed-1200,,hybrid-rrf,pdf-only,rerank-50-to-10,True,completed,valid-but-poor,0.8368531607165567,False,too-many-domain-regressions|new-recall-at-10-hard-failures,1,True,observed-only,561081179d615f4256de9c82c77a2f309e471ef7c5a76ac7c1a92c749f21d882,fcaa2d438ef7845449e961fc6130d67bc90984bedac87ebe60bada28addc1ec9,
reranker,reranker-abffa6986d735e1b1cd2,pdf-fixed-1200,,hybrid-rrf,pdf-only,rerank-100-to-10,True,completed,valid-but-poor,0.838026232108122,False,too-many-domain-regressions|new-recall-at-10-hard-failures,1,True,observed-only,20a80f611b61a7b2e1d8849c0314649b4baad4ba88606cd9ce09678f019cd892,3198020a089b183708d8409092808af66509529e7342e2d4ea6817faecfb48b4,
retriever,retriever-0cf355b010cab9b9ef9d,pdf-fixed-1200,,dense,pdf-only,rerank-off,True,completed,valid-and-rankable,0.8215826167304325,True,,0,False,observed-only,2c95923a530f1cb13a66577a18ebc5304c4cae58c1db9dc1abe8ce588c9fe8e7,d3d3422262dd1e35bbd7d1148c741947710104fb6aba9e4f77a0ff177c1e8f9a,
retriever,retriever-505b0f12318c520338bf,pdf-fixed-1200,,bm25,pdf-only,rerank-off,True,completed,valid-but-poor,0.7849590641087081,False,too-many-domain-regressions|multi_hop-regression|adversarial-regression|recall_at_10-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,8,False,observed-only,3a97a0734696184563e00a9210751c94ca0cb131c67c4e52b2859734c6612ece,e095ca665f5e8221c2156a43595542a67eb8d8eafc52fbe055a69a83acdff69f,
retriever,retriever-9ccd91ad8de58b61e209,pdf-fixed-1200,,hybrid-rrf,pdf-only,rerank-off,True,completed,valid-but-poor,0.8345257019828777,False,adversarial-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,3,False,observed-only,7fd04829bf8d8c0e992a602ba1f8e8a26dcc563e2e657c6aea532f12cdf2bccd,51d141d424ff5be863790fb77fc37c2f9c50031a90459ce67887b6922412a36e,
source-composition,source-composition-00569ab29b0615636c7d,pdf-parent-child,,hybrid-rrf,hierarchical-pdf,rerank-off,True,completed,valid-but-poor,0.7342808680268875,False,too-many-domain-regressions|multi_hop-regression|adversarial-regression|recall_at_10-regression|all_required_groups_success_at_10-regression|new-recall-at-10-hard-failures,9,True,observed-only,42622ba95644a9207033b5f45581b69ce465ee877f4d6fc448854105a7cbe39b,50d8377f02d070b44d972a74d338202db0049d5fa8c7d88f7f07e15774856888,
